Nombre,Dirección,Categoría,Teléfonos,Sitios Web,Correos Electrónicos,Fuente
Apartamento Parque Ecuador,"Av. Pedro de Valdivia 159, Concepción, Bío Bío",,,booking.com,"customer.service@booking.com,geniusgenericgiftbox@2x.png,name@example.com,us@3x.png",google_maps
Arquitectura Servicio Y Mantencion Industrial Limitada,"Los Castaños 41, 4110344 Chiguayante, Bío Bío",,412392201,,,google_maps
Ascencio Auditores,"Anibal Pinto 576, 4030563 Concepción, Bío Bío",,412919121,ascencioauditores.cl,"eriffo@ascencioauditores.cl,eurrutia@ascencioauditores.cl,jaguilera@ascencioauditores.cl,llagos@ascencioauditores.cl,msanhueza@ascencioauditores.cl,mvenegas@ascencioauditores.cl,sespinoza@ascencioauditores.cl,vespinoza@ascencioauditores.cl",google_maps
Asesorias Y Servicios Marsur Chile Limitada,"Lientur 1037, 4081362 Concepción, Bío Bío",,412468415,marsurchile.cl,contacto@marsurchile.cl,google_maps
Autopista Concepción - Talcahuano,"Unnamed Road, Concepción, Bío Bío",,,,,google_maps
BGl Arquitectos,"Lincoyán 26, Oficina 51, 4030000 Concepción, Bío Bío",,413167781,bglarquitectos.cl,,google_maps
BPO Consultores De Empresas Ltda,"Libertador Gral. Bernardo O'Higgins 241, Oficina 805, Concepción, Bío Bío",,412888482,,,google_maps
BStage,"Antonio de la Fuente 155, 4270772 Talcahuano, Bío Bío",,950603413,,,google_maps
Bodega Santa Sabina LTDA,"8450439 Concepción, Bío Bío",,976081881,,,google_maps
Bodenor Flex Center,"4603212 Hualpén, Talcahuano, Bío Bío",,,,,google_maps
Bramsa,"C. Exequiel Pl. 1055, 4130303 San Pedro de la Paz, Bío Bío",,,,,google_maps
CANAL EXPREZION TV,"Pedro de Valdivia 406, 2 piso, Los Álamos, Los Alamos, Bío Bío",,952596086,exprezion.cl,,google_maps
CBR,"Barros Arana 951, 4030511 Concepción, Bío Bío",,,,,google_maps
CGS Consultoría Ltda,"Bernardo O'Higgins Pte. 77, oficina 1406, Concepción, Bío Bío",,996993364,cgsconsultoria.cl,"gabriel.pavez@cgsconsultoria.cl,pedro.gutierrez@cgsconsultoria.cl,sandra.perez@cgsconsultoria.cl",google_maps
CLUB DEPORTIVO JUVENTUD NONGUEN,"Diego Portales 109, Concepción, Bío Bío",,,juventudnonguen.cl,mkt@juventudnonguen.cl,google_maps
CONSTRULOMAS,"Javiera Carrera 7353, San Pedro de la Paz, Bío Bío",,936947294,construlomas.cl,,google_maps
CVA Motors Automotora,"Anibal Pincheira 99, Lota 758, 4130120 San Pedro de la Paz, Bío Bío",,963092333,cvamotors.cl,"contacto@cvagroup.cl,example@domain.com",google_maps
Cabañas Chiguayante,"Av. O'Higgins 2325, 4100000 Chiguayante, Bío Bío",,981318070,,,google_maps
Cabañas borderío San Pedro de la paz,"Av. Julio Hemmelmann 2271, 4030009 San Pedro de la Paz, Bío Bío",,992979731,borderio.cl,,google_maps
Cabify Concepción,"Cochrane 635, Torre A, Oficina 405, Concepción, Bío Bío",,,cabify.com,,google_maps
Campanita,"Cochrane 154, Chiguayante, Bío Bío",,,(41) 235 9272,,google_maps
Campos Deportivos Arturo Fernández Vial,"Progreso 720, 4110175 Chiguayante, Bío Bío",,,,,google_maps
Canal 9 Bío-Bío Televisión,"Libertador Gral. Bernardo O'Higgins 680, 4070152 Concepción, Bío Bío",,412620620,canal9.cl,"mrosales@biobiotv.cl,noticias@biobiotv.cl",google_maps
Canal TV8,"Paicaví 1267, 4081380 Concepción, Bío Bío",,,canaltv8.cl,,google_maps
Cancha Nonguén,"Cam. Nonguén 961, Concepción, Bío Bío",,,,,google_maps
Captel Spa,"Tucapel 564, 4030490 Concepción, Bío Bío",,,,,google_maps
Cascada Parque Ecuador,"Concepción, Bío Bío",,,,,google_maps
Castañeda Arquitectos Ltda.,"Freire 1624, 4070558 Concepción, Bío Bío",,223116657,castanedaarquitectos.cl,"2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,8c4075d5481d476e945486754f783364@sentry.io,8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com,9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com,info@castanedaarquitectos.cl",google_maps
Ccrescere Contabilidad de Confianza,"Algarrobo poniente 6940, 4130000 Biobío, San Pedro de la Paz",,963072590,ccrescere.cl,,google_maps
Centro Cultural Y De Comunicacion Radiofonica Lorenzo Arenas,"Marina de Chile 4075, 4060572 Concepción, Bío Bío",,,,,google_maps
"Centro Ignaciano Concepción, Chile","Av. Los Carrera 191, 4050892 Concepción, Bío Bío",,,,,google_maps
Centro de Desarrollo de Negocios Concepción,"Lincoyán 199, 4070286 Concepción, Bío Bío",,984350001,instagram.com,,google_maps
Centro de entrenamiento Colosseo Box,"Camilo Henríquez 522, 4030555 Concepción, Bío Bío",,944683844,,,google_maps
Chile Consultor,"Sta. María 2360, 4080897 Concepción, Bío Bío",,412134819,chileconsultor.cl,contacto@chileconsultor.cl,google_maps
Club Concepcion Espacio de Cotrabajo,"Libertador Gral. Bernardo O'Higgins 536, Concepción, Bío Bío",,,,,google_maps
Coach Fitness club,"Serrano 489, 4070237 Concepción, Bío Bío",,971333042,coachfitness.cl,,google_maps
Codesser Concepciòn,"143, Barros Arana 492, Concepción, Bío Bío",,,,,google_maps
Colegio Andrés Bello,"Pinares 503, 4110122 Chiguayante, Bío Bío",,412133187,colegioandresbello.cl,"comunicaciones@colegioandresbello.cl.cl,contacto@colegioandresbello.cl",google_maps
Colegio José Hipólito Salas y Toro,"Av. Manuel Rodríguez 226, 4100608 Chiguayante, Bío Bío",,,,,google_maps
Colegio Santa Sabina,"Los Lleuques 1477, 4030000 Concepción, Bío Bío",,412388924,colegiosantasabina.cl,"colegio@santasabina.cl,contacto@santasabina.cl,soporte@santasabina.cl",google_maps
Comunidad Edificio Galeria Juan Villa,"Peato Anibal Pinto 576, OF 4, 4030520 Concepción, Bío Bío",,996439302,,,google_maps
Concepción,"C. Tres Nte., 4131485 San Pedro de la Paz, Bío Bío",,,,,google_maps
Concepción tv,"Maipú 852, 4030000 Concepción, Bío Bío",,974300558,concepciontv.cl,contacto@concepciontv.cl,google_maps
Condominio El Arrayan,"Tucapel 515, depto453, 4131222 San Pedro de la Paz, Bío Bío",,,,,google_maps
Consorcio ICP,"Orompello 799-697, 4030341 Concepción, Bío Bío",,413214513,consorcioicp.cl,,google_maps
Construcciones Turbo,"Portugal 4200-4298, Chiguayante, Bío Bío",,933415984,,,google_maps
Constructora AFFA,"Pje. 5 4766, Talcahuano, Bío Bío",,,,,google_maps
Constructora Lfm,"Av. Pedro de Valdivia 317, Concepción, Bío Bío",,,(41) 233 1855,,google_maps
Construparingenieria,"Diego de Oro 382, 4080713 chillancito, Concepción, Bío Bío",,,9 8461 5256,,google_maps
Consultora Austral Solutions - Emprendimiento e Innovación,"Gleisner 1824, 4030000 Concepción, Bío Bío",,412733073,australsolutions.com,"0e6a29e4756740a8a63493e912ba2174@sentry.wixpress.com,2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com,271e9fa3230b4eec94b02bf95780f5f2@sentry.wixpress.com,460ff4620fa44cba8df530afde949785@sentry.wixpress.com,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,88170cb0c9d64f94b5821ca7fd2d55a4@sentry-next.wixpress.com,8c4075d5481d476e945486754f783364@sentry.io,8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com,baf30a2b91654c5a840931f0137bed30@sentry.wixpress.com,c183baa23371454f99f417f6616b724d@sentry.wixpress.com,dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com,ed436f5053144538958ad06a5005e99a@sentry.wixpress.com",google_maps
"Consultora Desafío Personas, Ciencia & Business","Av. Michimalonco 1207, San Pedro de la Paz, Bío Bío",,413180644,,,google_maps
Consultoría Naval Marítima Ltda.,"Paicaví 176, 4100440 Chiguayante, Bío Bío",,412948195,cnm.cl,,google_maps
CreceInnova Asesoría y Gestión a Empresas,"Gobernador Juan Henriquez 376, 4081636 Concepción, Bío Bío",,961480636,,,google_maps
Cristian Mendoza Arriendos y Servicios de Transportes Eirl,"Ongolmo 1998, 4060561 Concepción, Bío Bío",,,,,google_maps
Cristian fredes,"Sta. Sabina, 4060071 Concepción, Bío Bío",,,,,google_maps
Crossfit Vulcano Concepción,"Angol 1044, 4030439 Concepción, Bío Bío",,944959693,,,google_maps
Cámara de Comercio,"Caupolicán 567, 4030595 Concepción, Bío Bío",,,,,google_maps
DAS Dirección de Administración de Salud de San Pedro de la Paz,"Los Fresnos 1484, 4130623 San Pedro de la Paz, Bío Bío",,413395275,,,google_maps
DIARIO EL SUR,"Gran Bretaña 5535, 4030359 Talcahuano, Bío Bío",,,,,google_maps
Dagoberto Aravena y Cia,"Libertador Gral. Bernardo O'Higgins 241, of 1222, Concepción, Bío Bío",,412912055,davycia.cl,"daravenav@davycia.cl,davpac@entelchile.net,mauricioast@gmail.com,nombre@correo.com,p.aravena@davycia.cl",google_maps
"Deportes Concepción CDN ""Ricardo Keller""","Cam. Nonguén 1965, Concepción, Bío Bío",,,,,google_maps
Diario Concepción,"Cochrane 1102, 4070120 Concepción, Bío Bío",,412232200,diarioconcepcion.cl,,google_maps
Diario El Sur,"Caupolicán 518, 4030595 Concepción, Bío Bío",,227534404,elsur.cl,suscripciondigital@diarioelsur.cl,google_maps
Diario El Sur S.A.,"4030255 Concepción, Bío Bío",,"412794776,412794789",,,google_maps
Diario La Estrella de Concepción,"Caupolicán 518, 4030595 Concepción, Bío Bío",,412794848,estrellaconce.cl,,google_maps
Dirección de comunicaciones - Universidad De Concepción,"Los Tilos 1192, 4070413 Concepción, Bío Bío",,,,,google_maps
Doit Fitness Club,"San Martín 654, 4070184 Concepción, Bío Bío",,412790729,doitfitness.cl,"info@doirfitness.cl,info@doitfitness.cl",google_maps
EBISUR Apart - Hoteles CRUZ,"Gral Cruz 1259, 4030000 Concepción, Bío Bío",,978084417,booking.com,"customer.service@booking.com,geniusgenericgiftbox@2x.png,name@example.com,us@3x.png",google_maps
EBISUR Apart - Hoteles MAIPU,"Maipú 1520, 4030000 Concepción, Bío Bío",,978084417,booking.com,"customer.service@booking.com,geniusgenericgiftbox@2x.png,name@example.com,us@3x.png",google_maps
EBISUR Apart - Hoteles OROMPELLO,"Orompello 1061, 4030000 Concepción, Bío Bío",,978084417,booking.com,"customer.service@booking.com,geniusgenericgiftbox@2x.png,name@example.com,us@3x.png",google_maps
ECOLOG SPA,"Local 11O, 4131001 San Pedro de la Paz, Bío Bío",,412466790,ecolog.cl,contacto@ecolog.cl,google_maps
EDIFICIO DEL PACIFICO,"Libertador Gral. Bernardo O'Higgins 940, Concepción, Bío Bío",,412211821,,,google_maps
EDYCE CONSTRUCCIONES Y MONTALES S.A,"Talcahuano, Bío Bío",,,,,google_maps
EMPRESA DE CONSTRUCCIÓN Y MONTAJE SPA,"palomares ESQUINA Brisas con - Las Brisas, Chile 2225, Concepción, Bío Bío",,,9 7532 7149,,google_maps
EMPRESA DE SERVICIOS ANA MARÍA FLORES GATICA EIRL AMF,"Av. Los Copihues 403, 4600000 Hualpén, Bío Bío",,985055090,amfcomercial.cl,"amfcomercializadora@gmail.com,ventas@amfcomercial.cl",google_maps
Edelweiss Apart,"Av. Pdte. Jorge Alessandri Rodriguez 450, Concepción, Talcahuano, Bío Bío",,962196476,,,google_maps
Edificio Altamira,"Libertador Gral. Bernardo O'Higgins 330, Concepción, Bío Bío",,412798670,edificioaltamira.cl,,google_maps
Edificio Bellavista,"Av. Siete Lagunas 542, Concepción, Bío Bío",,,edificiobellavista.cl,,google_maps
Edificio BioBío Centro - Arriendo de Oficinas en Concepción,"Autop. Concepción - Talcahuano 869, Hualpén, Talcahuano, Bío Bío",,962364853,edificiobiobio.cl,contacto@edificiobiobio.cl,google_maps
Edificio Centro Plaza,"Edificio Centro - Cochrane 635, Oficina 305 Torre B, 4070245 Concepción, Bío Bío",,413163338,,,google_maps
Edificio Centro Sur,"Av. Chacabuco 1085, 4070146 Concepción, Bío Bío",,,,,google_maps
Edificio Futurocenter,"Libertador Gral. Bernardo O'Higgins 77, Concepción, Bío Bío",,936695310,,,google_maps
Edificio Gobernador Pedro de Valdivia,"Av. Pedro de Valdivia 917, Concepción, Bío Bío",,,,,google_maps
Edificio Loteria de Concepción,"Colo Colo 592, Concepción, Bío Bío",,,,,google_maps
Edificio Pedro de Valdivia,"Anibal Pinto 509, piso 14, oficina A, 4030555 Concepción, Bío Bío",,,Oficinas de empresa,,google_maps
Edificio StudioWork,"Libertador Gral. Bernardo O'Higgins 236, 4070242 Concepción, Bío Bío",,,studiowork.cl,cconcha@fdi.cl,google_maps
El Parque Hotel Boutique,"Víctor Lamas 1011, 4070180 Concepción, Bío Bío",,,,,google_maps
Electrónica De Sistemas De Control Spa,"Antonio de Las Penas 1966, 4130109 San Pedro de la Paz, Bío Bío",,412372196,,,google_maps
Empresa Buses Huslpen,"Bío Bío 9334, 4603012 Hualpén, Bío Bío",,,,,google_maps
Empresas Conecta,"Jaime Repullo 1976, 4280409 Talcahuano, Bío Bío",,412185300,conectachile.cl,administracion@conectachile.cl,google_maps
Empresas Rubio,"Higuerilla 338, 4601668 Hualpén, Bío Bío",,412476216,,,google_maps
Encontraste,"San Martín 553, oficina 1001, 4070176 Concepción, Bío Bío",,413834133,,,google_maps
Energia 95.7 Fm,"Av. Las Torres 685-607, 4132201 San Pedro de la Paz, Bío Bío",,412375534,radioenergia.cl,ventas@radioenergia.cl,google_maps
Equipo Mundial Centro de Negocios,"Colo Colo 379, Concepción, Bío Bío",,997959752,,,google_maps
Escuela Palestina,"30, Nonguén 28, 4051102 Concepción, Bío Bío",,,(2) 2520 1338,,google_maps
Espacio Informativo Concepción,"4030000 Concepción, Bío Bío",,973123167,facebook.com,,google_maps
Estacionamiento Remodelación,"Paicaví 1096, 4030118 Concepción, Bío Bío",,,,,google_maps
Estación Intermodal Concepción,"Av. Padre Alberto Hurtado 2343, Concepción, Bío Bío",,,,,google_maps
Estudio C Arquitectura y Diseño,"Collao 999, Concepción, Bío Bío",,412468041,,,google_maps
Estudio Jurídico ABOGADOS,"Av. Cristóbal Colón, 4602924 Hualpén, Bío Bío",,,9 5019 2773,,google_maps
Estudio Jurídico Salazar & cia,"Amsterdam poniente 4414 jardines de la Floresta 7 Hualpén, 4030000 Biobío",,,9 4145 9126,,google_maps
Ex estudios canal 5 TVUC Concepcion,"Las Heras, 4030135 Concepción, Bío Bío",,,,,google_maps
FEC,"Pl. Perú 119, 4070107 Concepción, Bío Bío",,,,,google_maps
FEPASA,"Talcahuano, Bío Bío",,,,,google_maps
FERRETERIA GINVEST,"Camino a Nonguen 1008, 4030000 Concepción, Bío Bío",,,(41) 318 7529,,google_maps
FERRETERIA NONGUEN,"Diego Portales, 4050990 Concepción, Bío Bío",,,9 8288 1669,,google_maps
FOCUS GYM SPP,"C. Itata 8590, 4122343 San Pedro de la Paz, Bío Bío",,952416098,,,google_maps
Ferretería Ferrelomas,"Los Naranjos 6377, San Pedro de la Paz, Bío Bío",,412463534,,,google_maps
Fesur,"Bernardo O'Higgins Pte. 77, Concepción, Bío Bío",,,,,google_maps
Finca El Quirinal,"Cam. A Chiguayante 5612, 4100000 Concepción, Chiguayante, Bío Bío",,573188053128,facebook.com,,google_maps
Fish,"Angol 1248, 4030306 Concepción, Bío Bío",,412982088,,,google_maps
Flota Verschae,"Talcahuano, Bío Bío",,,,,google_maps
Forestal FHO,"Los Avellanos 45, 4130195 San Pedro de la Paz, Bío Bío",,,,,google_maps
Formeduc,"Serrano 551, 4030640 Concepción, Bío Bío",,,,,google_maps
Fundacion DEM PLAE San Pedro,"Los Nogales 109, 4130477 San Pedro de la Paz, Bío Bío",,413187049,fundaciondem.cl,administracioncentral@fundaciondem.cl,google_maps
Funeraria Parque San Pedro Concepción,"Paicaví 773-835, Concepción, Bío Bío",,,,,google_maps
Galería Universidad de Concepción,"Barros Arana 601-603, 4030575 Concepción, Bío Bío",,,,,google_maps
Gerencia Proyecto Puente Ferroviario Biobío EFE,"Arturo Prat 390, 4030632 Concepción, Bío Bío",,,,,google_maps
Gimnasio Brandau Kim,"Río Elqui 689, 4050729 Concepción, Bío Bío",,,,,google_maps
Gimnasio CARLOS CONDELL,"Manuel Bulnes 1650, 4081374 Concepción, Bío Bío",,954285425,,,google_maps
Gimnasio Candelaria San Pedro De La Paz,"Pje. Costanera 450-498, San Pedro de la Paz, Bío Bío",,,,,google_maps
Gimnasio Cesar Medina,"Gral. Novoa 725, 4050143 Concepción, Bío Bío",,,,,google_maps
Gimnasio Cnef,"Lincoyán 444, 4070172 Concepción, Bío Bío",,412234802,,,google_maps
Gimnasio Flex,"Freire 853, 2do piso, 4030000 Concepción, Bío Bío",,996961351,,,google_maps
Gimnasio Gea Mutatis,"Av. Los Claveles 55, Huertos Familiares, San Pedro de la Paz, Bío Bío",,944266078,geamutatis.cl,,google_maps
Gimnasio Municipal De Concepción,"Av. Gral. Oscar Bonilla 2700, Concepción, Bío Bío",,,concepcion.cl,,google_maps
Gimnasio Municipal San Pedro De La Paz,"Los Boldos 1835, 4130409 San Pedro de la Paz, Bío Bío",,,,,google_maps
Gimnasio Pacific Concepción 2,"Av. Pedro de Valdivia 1145, Concepción, Bío Bío",,931906861,gimnasiopacific.cl,,google_maps
Gimnasio Papelera Norke Skog,"Los Pensamientos 27, 4132846 San Pedro de la Paz, Bío Bío",,,,,google_maps
Gimnasio Poblacion Gabriela Mistral.,"C. Dos 418-458, Concepción, Bío Bío",,,,,google_maps
Gimnasio Smart Fit - Los Carrera,"Av. Los Carrera N° 3225, Concepción, Bío Bío",,,smartfit.cl,,google_maps
Gimnasio UBB,"4050352 Concepción, Bío Bío",,,,,google_maps
Gimnasio Upgrade Concepción,"Av. Chacabuco 70, 4070324 Concepción, Bío Bío",,931907047,gimnasiosupgrade.cl,"contacto@gimnasiopacific.cl,contacto@gimnasiosupgrade.cl,convenioempresas@gimnasiosupgrade.cl,reclutamiento@gimnasiosupgrade.cl,servicioalcliente@gimnasiosupgrade.cl",google_maps
Gimnasio fysis,"Los Cerezos 12, 4130060 San Pedro de la Paz, Bío Bío",,413199573,m.facebook.com,,google_maps
Gimnasio y centro médico deportivo HEALTHY BODY,"Caletera, Av Michaihue 3400, lote 11, 4030000 San Pedro de la Paz, Bío Bío",,,instagram.com,,google_maps
Global Shope,"villa universitaria, 4030000 Concepción, Bío Bío",,953514602,,,google_maps
Grupo,"Las Palmeras 463-541, 4280335 Talcahuano, Bío Bío",,,,,google_maps
Grupo MCV,"Av Parque San Pedro del Valle 1903, San Pedro de la Paz, Bío Bío",,,grupomcv.com,officeshinger@163.com,google_maps
Gym,"Freire 853, 4030000 Concepción, Bío Bío",,996961351,,,google_maps
HDQ - Hostal en Concepción,"Chiloé 1130, 4050070 Concepción, Bío Bío",,987752280,hostalhdq.cl,,google_maps
HOSTAL COLLAO,"Bernardino Corral 104, 4030000 Concepción, Bío Bío",,992735989,,,google_maps
HOTEL LA PALMERA,"Bandera 1251, 4060948 Concepción, Octava, Bío Bío",,412233222,,,google_maps
HOTEL MOSUL,"Av. Pdte. Jorge Alessandri Rodriguez 3635, Talcahuano, Bío Bío",,412447700,hotelmosul.cl,"administracion@hotelmosul.cl,comercial@hotelmosul.cl",google_maps
HVA Oficina de Arquitectura,"4130111 San Pedro de la Paz, Bío Bío",,,,,google_maps
Hector Guillermo Chandia Uslar,"Estambul 3807, 4601160 Concepción, Hualpén, Bío Bío",,412432716,,,google_maps
Heraclio del Carmen Rojas Vergara,"Libertador Gral. Bernardo O'Higgins 820, Concepción, Bío Bío",,412670653,rojasnotaria.cl,tramitesgenerales@rojasnotaria.cl,google_maps
Hito Concepción Parque Ecuador,"Víctor Lamas 981, Concepción, Bío Bío",,,diarioconcepcion.cl,contacto@diarioconcepcion.cl,google_maps
Holiday Inn Express Concepcion by IHG,"Av. San Andrés 38, 4074580 Concepción, Bío Bío",,412489300,ihg.com,"agne.blyth@ihg.com,ches.eaton@ihg.com,christine.lee@ihg.com,debra.wang@ihg.com,julia.boyd@ihg.com,stacy.campbell@ihg.com,whitney.engelke@ihg.com",google_maps
Hostal,"Av. Los Carrera, 4030418 Concepción, Bío Bío",,953555622,,,google_maps
Hostal Ayiwün,"Ainavillo 630, 4030000 Concepción, Bío Bío",,971490309,,,google_maps
Hostal Bianca,"Salas 643-C pasaje interior, entre Maipú y Freire, Concepción, Bío Bío",,412930718,hostalbianca.cl,reservas@hostalbianca.cl,google_maps
Hostal Buró,"Freire 1565, 4030263 Concepción, Bío Bío",,412950700,hostalburo.cl,"0e6a29e4756740a8a63493e912ba2174@sentry.wixpress.com,2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com,baf30a2b91654c5a840931f0137bed30@sentry.wixpress.com,c183baa23371454f99f417f6616b724d@sentry.wixpress.com,dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com",google_maps
Hostal Colo Colo,"Colo Colo 750, 4030000 Concepción, Bío Bío",,996791901,,,google_maps
Hostal Concepción,"Castellón 261, 4500000 Concepción, Bío Bío",,962246601,hostalconcepcion.cl,concepcion@hostalconcepcion.cl,google_maps
"Hostal Cruz Central, Cercano al Terminal de Buses Collao.","sector Collao - Camino a Nonguen 0140, esquina calle central, Collao, Concepción, Bío Bío",,994732640,cruzcentral.cl,contacto@cruzcentral.cl,google_maps
Hostal Del Río,"Barros Arana 1160, casa interior, 4070045 Concepción, Bío Bío",,412214288,hdelrio.cl,reservas@hdelrio.cl,google_maps
Hostal Junge,"Arturo Junge 216, 4030000 Concepción, Bío Bío",,974983378,hostaljunge.cl,reserva@hostaljunge.cl,google_maps
Hostal Mi Segundo Hogar,"4030687 Concepción, Bío Bío",,994452064,hostalmisegundohogar.cl,,google_maps
Hostal Valle Collao,"Gral. Novoa 594, 4030000 Concepción, Bío Bío",,983454477,,,google_maps
Hostal Vivo Concepción,"Gleisner 1790, 4070352 Concepción, Bío Bío",,990008541,,,google_maps
Hostal del centro,"Ongolmo 347, 4070064 Concepción, Bío Bío",,413235106,hostaldelcentro.cl,reservas@hostaldelcentro.com,google_maps
Hostal vilu concepcion,"Bernardino Corral 256, 4050153 Concepción, Bío Bío",,963633286,,,google_maps
Hostel INK - Duerme como en casa,"Martinez de Rosas - Juan Martínez de Rozas 886, 4030313 Concepción, Bío Bío",,996903831,,,google_maps
Hotel Alborada,"Barros Arana 457, 4030616 Concepción, Bío Bío",,412911121,hotelalborada.cl,reservas@hotelalborada.cl,google_maps
Hotel Alonso de Ercilla,"Colo Colo 334, 4070109 Concepción, Bío Bío",,412911301,hotelalonsodeercilla.cl,"contacto@hotelalonsodeercilla.cl,myname@example.com",google_maps
Hotel Bella Luna,"Caupolicán 1215, Concepción, Bío Bío",,412992447,,,google_maps
Hotel Camilo Henríquez,"Camilo Henríquez 2429, 4030000 Concepción, Bío Bío",,233137774,clavalhotel.cl,,google_maps
Hotel Canino Lomas San Sebastián,"Pje. Las Murtillas 374, Concepción, Bío Bío",,,,,google_maps
Hotel Concepción viajantes,"Serrano 512, 4030635 Concepción, Bío Bío",,412629000,,,google_maps
Hotel Cruz del Sur,"Freire 889, 4030501 Concepción, Bío Bío",,412911690,hotelcruzdelsur.cl,"recepcion@hotelcruzdelsur.cl,reservas@hotelcruzdelsur.cl",google_maps
Hotel D&V Concepcion,"Manuel Bulnes 426, 4030399 Concepción, Bío Bío",,412236603,hoteldyv.cl,contacto@hoteldyv.cl,google_maps
Hotel Diego De Almagro Concepción Chacabuco,"Av. Chacabuco 156, Concepción, Bío Bío",,6002620100,dahoteles.com,"centraldereservas@dahoteles.com,cobranzas@dahoteles.com,comercial@dahoteles.com,eventos@dahoteles.com,grupos@dahoteles.com,recepcion-aeropuerto@dahoteles.com,recepcion-altoelloa@dahoteles.com,recepcion-anf1@dahoteles.com,recepcion-anf2@dahoteles.com,recepcion-arica@dahoteles.com,recepcion-calamaexpress@dahoteles.com,recepcion-castro@dahoteles.com,recepcion-ccp1@dahoteles.com,recepcion-chillan@dahoteles.com,recepcion-cjc1@dahoteles.com,recepcion-cpo@dahoteles.com,recepcion-curico@dahoteles.com,recepcion-gxq@dahoteles.com,recepcion-iqq@dahoteles.com,recepcion-laserena@dahoteles.com,recepcion-lomasverdes@dahoteles.com,recepcion-lsc@dahoteles.com,recepcion-lsq@dahoteles.com,recepcion-osorno@dahoteles.com,recepcion-pastene@dahoteles.com,recepcion-pmc@dahoteles.com,recepcion-providencia@dahoteles.com,recepcion-pudahuel@dahoteles.com,recepcion-puq@dahoteles.com,recepcion-rcg@dahoteles.com,recepcion-sanpedro@dahoteles.com,recepcion-scl@dahoteles.com,recepcion-talcaexpress@dahoteles.com,recepcion-temucoexpress@dahoteles.com,recepcion-tlx@dahoteles.com,recepcion-vdelmar@dahoteles.com,recepcion-vps@dahoteles.com,recepcion-zal@dahoteles.com,recepcion-zco@dahoteles.com,recursos.humanos@dahoteles.com,reservas@hotelaraucano.cl,servicioalcliente@dahoteles.com",google_maps
